总字数为733605 红楼梦 共有12章 
551  开         93   51243 
552  高兴        93   51336 
553  实在        92   50876 
554  叹         92   50968 
555  不想        92   51060 
556  衣裳        92   51152 
557  以         91   50687 
558  一场        91   50778 
559  不便        91   50869 
560  可巧        91   50960 
561  算         91   51051 
562  琏         91   51142 
563  好生        91   51233 
564  姨娘        91   51324 
565  尤二姐       91   51415 
566  家中        90   50940 
567  俱         90   51030 
568  不免        90   51120 
569  身子        90   51210 
570  伺候        90   51300 
571  一齐        90   51390 
572  好好        90   51480 
573  恐         89   50997 
574  使得        89   51086 
575  提起        89   51175 
576  竟是        88   50688 
577  因问        88   50776 
578  不然        88   50864 
579  现在        88   50952 
580  嘴         88   51040 
581  几年        87   50547 
582  陪笑        87   50634 
583  底下        87   50721 
584  安         87   50808 
585  正要        87   50895 
586  这件        87   50982 
587  妈         87   51069 
588  金桂        87   51156 
589  只好        86   50654 
590  上面        86   50740 
591  及         86   50826 
592  光景        86   50912 
593  尽         86   50998 
594  管         86   51084 
595  伤心        86   51170 
596  来回        86   51256 
597  便命        86   51342 
598  女人        86   51428 
599  秦钟        86   51514 
600  赏         86   51600 
601  一见        85   51085 
602  处         85   51170 
603  小姐        85   51255 
604  少         85   51340 
605  怡红院       85   51425 
606  最         84   50904 
607  吃酒        84   50988 
608  另         84   51072 
609  香         84   51156 
610  玉         84   51240 
611  料理        84   51324 
612  黛玉笑       84   51408 
613  不来        84   51492 
614  递         84   51576 
615  干         84   51660 
616  哪         83   51128 
617  一看        83   51211 
618  每日        83   51294 
619  歇         83   51377 
620  老祖宗       83   51460 
621  怎样        83   51543 
622  故         82   51004 
623  者         82   51086 
624  书房        82   51168 
625  即         82   51250 
626  那日        82   51332 
627  收         82   51414 
628  门         82   51496 
629  不理        82   51578 
630  笑话        82   51660 
631  掷         82   51742 
632  娘         82   51824 
633  横竖        82   51906 
634  轿         81   51354 
635  极         81   51435 
636  略         81   51516 
637  脸上        81   51597 
638  有个        80   51040 
639  会         80   51120 
640  大事        80   51200 
641  不但        80   51280 
642  在外        80   51360 
643  宝姐姐       80   51440 
644  乃         79   50876 
645  亲自        79   50955 
646  成         79   51034 
647  两日        79   51113 
648  必         79   51192 
649  信         79   51271 
650  原是        79   51350 
651  几日        79   51429 
652  乱         79   51508 
653  史湘云       79   51587 
654  当         78   51012 
655  男人        78   51090 
656  饭         78   51168 
